Unnamed: 0,size,calories_kcal,fats_g,sod_mg,carb_g,fiber_g,sugar_g,protein_g,vitA_g,calcium_mg,thiamin_mg,zinc_mg,potassium_mg,magnesium_mg,vitE_mg,vitK_mcg,vitC_mg,vitB6_mg,copper_mg,carotene_mg,carotene_mcg,cryptoxanthin_mcg,lycopene_mcg,cholesterol_mg,quality
153,1,114,3,36,16,2,3,3,3169,84,0,0,151,11,1,15,2,0,0,1543,716,0,0,9,1
154,2,56,1,18,8,1,1,1,1563,41,0,0,74,5,0,7,1,0,0,761,353,0,0,4,2
155,4,56,1,18,8,1,1,1,1563,41,0,0,74,5,0,7,1,0,0,761,353,0,0,4,2
156,4,56,1,18,8,1,1,1,1563,41,0,0,74,5,0,7,1,0,0,761,353,0,0,4,2
157,1,14,0,4,2,0,0,0,392,10,0,0,18,1,0,1,0,0,0,191,88,0,0,1,3
158,1,8,0,2,1,0,0,0,221,5,0,0,10,0,0,1,0,0,0,107,50,0,0,0,3
159,2,132,6,340,10,1,2,8,1717,61,0,0,156,17,0,6,3,0,0,841,363,0,0,49,1
160,6,138,6,354,11,1,2,9,1787,63,0,0,162,17,0,6,3,0,0,876,378,0,0,51,1
161,1,22,1,56,1,0,0,1,286,10,0,0,26,2,0,1,0,0,0,140,60,0,0,8,3
162,1,12,0,32,1,0,0,0,161,5,0,0,14,1,0,0,0,0,0,79,34,0,0,4,3
163,2,103,3,129,13,0,2,4,180,86,0,0,74,11,0,0,2,0,0,8,0,0,0,10,1
164,1,17,0,21,2,0,0,0,30,14,0,0,12,1,0,0,0,0,0,1,0,0,0,1,3
165,2,75,2,98,10,0,1,3,97,74,0,0,75,9,0,0,0,0,0,5,0,0,0,7,2
166,1,18,0,24,2,0,0,0,24,18,0,0,18,2,0,0,0,0,0,1,0,0,0,1,3
167,2,100,1,28,15,1,4,4,1174,23,0,0,122,11,1,11,2,0,0,574,261,0,425,6,1
168,6,100,1,28,15,1,4,4,1174,23,0,0,122,11,1,11,2,0,0,574,261,0,425,6,1
169,6,100,1,28,15,1,4,4,1174,23,0,0,122,11,1,11,2,0,0,574,261,0,425,6,1
170,1,16,0,4,2,0,0,0,195,3,0,0,20,1,0,1,0,0,0,95,43,0,70,1,3
171,1,9,0,2,1,0,0,0,110,2,0,0,11,1,0,1,0,0,0,54,24,0,40,0,3
172,2,68,1,42,10,1,2,2,992,19,0,0,126,13,2,33,0,0,0,474,240,0,47,7,1
173,4,68,1,42,10,1,2,2,992,19,0,0,126,13,2,33,0,0,0,474,240,0,47,7,1
174,4,68,1,42,10,1,2,2,992,19,0,0,126,13,2,33,0,0,0,474,240,0,47,7,1
175,4,68,1,42,10,1,2,2,992,19,0,0,126,13,2,33,0,0,0,474,240,0,47,7,1
176,1,17,0,10,2,0,0,0,248,4,0,0,31,3,0,8,0,0,0,119,60,0,11,1,3
177,1,9,0,6,1,0,0,0,140,2,0,0,17,1,0,4,0,0,0,67,34,0,6,1,3
178,1,12,0,32,1,0,0,0,9,1,0,0,23,2,0,0,0,0,0,5,0,0,53,1,3
179,2,56,0,15,13,0,0,1,4154,28,0,0,190,17,0,0,5,0,0,0,0,0,0,0,3
180,1,9,0,2,2,0,0,0,692,4,0,0,31,2,0,0,0,0,0,0,0,0,0,0,3
181,2,46,0,9,10,0,0,1,3082,24,0,0,136,12,0,0,3,0,0,0,0,0,0,0,3
182,1,11,0,2,2,0,0,0,773,6,0,0,34,3,0,0,0,0,0,0,0,0,0,0,3
183,4,67,2,12,9,1,1,1,627,15,0,0,150,27,0,2,3,0,0,318,44,0,327,5,2
184,2,115,2,127,19,1,4,4,2133,25,0,0,207,18,0,1,0,0,0,1021,516,0,0,8,0
185,6,115,2,127,19,1,4,4,2133,25,0,0,207,18,0,1,0,0,0,1021,516,0,0,8,0
186,6,115,2,127,19,1,4,4,2133,25,0,0,207,18,0,1,0,0,0,1021,516,0,0,8,0
187,6,115,2,127,19,1,4,4,2133,25,0,0,207,18,0,1,0,0,0,1021,516,0,0,8,0
188,1,19,0,21,3,0,0,0,355,4,0,0,34,3,0,0,0,0,0,170,86,0,0,1,3
189,1,10,0,12,1,0,0,0,200,2,0,0,19,1,0,0,0,0,0,96,48,0,0,0,3
190,2,127,1,608,18,0,0,9,753,37,0,0,277,25,0,0,6,0,0,0,0,0,0,0,3
191,1,21,0,101,3,0,0,1,125,6,0,0,46,4,0,0,1,0,0,0,0,0,0,0,3
192,4,83,2,24,12,1,6,2,4879,33,0,0,226,14,0,1,0,0,0,2926,0,0,0,12,0
193,1,11,0,3,1,0,0,0,690,4,0,0,32,2,0,0,0,0,0,414,0,0,0,1,3
194,2,95,1,136,16,1,2,4,3206,40,0,0,146,15,0,5,0,0,0,1575,697,0,1915,6,1
195,6,95,1,136,16,1,2,4,3206,40,0,0,146,15,0,5,0,0,0,1575,697,0,1915,6,1
196,6,95,1,136,16,1,2,4,3206,40,0,0,146,15,0,5,0,0,0,1575,697,0,1915,6,1
197,6,95,1,136,16,1,2,4,3206,40,0,0,146,15,0,5,0,0,0,1575,697,0,1915,6,1
198,1,15,0,22,2,0,0,0,534,6,0,0,24,2,0,0,0,0,0,262,116,0,319,1,3
199,1,8,0,12,1,0,0,0,301,3,0,0,13,1,0,0,0,0,0,148,65,0,180,0,3
200,2,58,1,22,8,1,1,2,1832,20,0,0,102,9,0,1,0,0,0,891,415,0,0,5,2
201,4,58,1,22,8,1,1,2,1832,20,0,0,102,9,0,1,0,0,0,891,415,0,0,5,2
202,4,58,1,22,8,1,1,2,1832,20,0,0,102,9,0,1,0,0,0,891,415,0,0,5,2
203,4,58,1,22,8,1,1,2,1832,20,0,0,102,9,0,1,0,0,0,891,415,0,0,5,2
204,1,14,0,5,2,0,0,0,459,5,0,0,25,2,0,0,0,0,0,223,104,0,0,1,3
205,1,8,0,3,1,0,0,0,259,2,0,0,14,1,0,0,0,0,0,126,58,0,0,0,3
206,1,181,7,125,22,4,4,4,5847,35,0,0,296,25,1,23,0,0,0,2846,1318,0,2,10,0
207,2,80,3,55,9,1,2,2,2580,15,0,0,131,11,0,10,0,0,0,1256,581,0,1,4,2
